Tag,Date,mac,other,total
44,July,32,208,240
30,July,200,0,200
22,July,112,80,192
3,July,56,120,176
27,July,8,128,136
23,July,32,80,112
18,July,14,86,100
28,July,8,64,72
5,July,16,48,64
6,July,48,16,64
1,July,21.33333333,42.66666666,63.99999999
2,July,8,44,52
47,July,8,36,44
32,July,16,24,40
45,July,12,28,40
35,July,29.33333333,5.333333332,34.66666666
48,July,16,12,28
46,July,12,12,24
12,July,4,12,16
16,July,6,7.5,13.5
33,July,4.5,7.5,12
50,July,3,8.5,11.5
26,July,3,8.25,11.25
29,July,3,6.5,9.5
4,July,3.666666663,3.33333333,6.999999993
25,July,4,1,5
34,July,2,2.25,4.25
36,July,4,0,4
38,July,0.5,3,3.5
13,July,1.5,1,2.5
27,August,8,280,288
3,August,88,120,208
30,August,200,0,200
22,August,64,96,160
44,August,32,112,144
1,August,21.33333333,101.3333333,122.6666666
2,August,40,80,120
23,August,56,48,104
28,August,8,60,68
35,August,31.99999999,21.33333333,53.33333332
5,August,12,40,52
46,August,8,36,44
47,August,12,32,44
45,August,12,28,40
32,August,24,12,36
48,August,20,12,32
36,August,2,21,23
16,August,6,15,21
38,August,1,7.5,8.5
29,August,3.25,5,8.25
26,August,2.75,5,7.75
25,August,4,0,4
33,August,1.5,2,3.5
44,September,32,368,400
23,September,40,224,264
1,September,32,165.3333333,197.3333333
22,September,64,128,192
3,September,76,72,148
6,September,48,96,144
32,September,16,72,88
45,September,12,76,88
27,September,24,56,80
46,September,16,48,64
35,September,31.99999999,26.66666666,58.66666665
28,September,4,48,52
48,September,20,12,32
36,September,2,17,19
47,September,8,8,16
16,September,6,9,15
12,September,6,9,15
33,September,2,7.5,9.5
4,September,2.999999997,5.333333328,8.333333325
29,September,3.5,4.5,8
34,September,1.75,3.75,5.5
44,January,32,800,832
23,January,16,320,336
30,January,100,100,200
28,January,8,120,128
5,January,4,76,80
18,January,2,70,72
35,January,10.66666666,42.66666666,53.33333332
12,January,5,25,30
16,January,3,17,20
48,January,8,8,16
32,January,12,0,12
45,January,4,0,4
