Tag #,Date,logmac,logother,logtotal,Mac Surv
44,July,3.46885603,5.338018733,5.481055503,100
30,July,5.298817242,-2.302585093,5.298817242,100
23,July,3.46885603,4.383275854,4.71939133,100
18,July,2.646174797,4.455509411,4.606169686,100
28,July,2.091864062,4.160444364,4.278054044,100
5,July,2.778819272,3.873282177,4.160444364,100
32,July,2.778819272,3.18221184,3.691376334,100
45,July,2.493205453,3.335769576,3.691376334,100
35,July,3.382127819,1.692552819,3.548659073,100
48,July,2.778819272,2.493205453,3.335769576,100
12,July,1.410986974,2.493205453,2.778819272,100
16,July,1.808288771,2.028148247,2.610069793,100
44,January,3.46885603,6.68473672,6.723952626,100
30,January,4.606169686,4.606169686,5.298817242,50
23,January,2.778819272,5.768633447,5.817408735,50
18,January,0.741937345,4.249922794,4.278054044,14.28571429
28,January,2.091864062,4.788324729,4.852811209,50
5,January,1.410986974,4.332048265,4.383275854,33.33333333
32,January,2.493205453,-2.302585093,2.493205453,75
45,January,1.410986974,-2.302585093,1.410986974,33.33333333
35,January,2.376454941,3.755758983,3.978434771,36.36363636
48,January,2.091864062,2.091864062,2.778819272,50
12,January,1.62924054,3.222867846,3.404525172,100
16,January,1.131402111,2.839078464,3.000719815,50
,,,,,
