Tag,Date,logmac,logother,logtotal
44,July,3.46885603,5.338018733,5.481055503
30,July,5.298817242,-2.302585093,5.298817242
22,July,4.71939133,4.383275854,5.25801607
3,July,4.027135813,4.788324729,5.171052016
27,July,2.091864062,4.852811209,4.91338991
23,July,3.46885603,4.383275854,4.71939133
18,July,2.646174797,4.455509411,4.606169686
28,July,2.091864062,4.160444364,4.278054044
5,July,2.778819272,3.873282177,4.160444364
6,July,3.873282177,2.778819272,4.160444364
1,July,3.064947342,3.755758983,4.160444364
2,July,2.091864062,3.786459782,3.953164949
47,July,2.091864062,3.586292865,3.786459782
32,July,2.778819272,3.18221184,3.691376334
45,July,2.493205453,3.335769576,3.691376334
35,July,3.382127819,1.692552819,3.548659073
48,July,2.778819272,2.493205453,3.335769576
46,July,2.493205453,2.493205453,3.18221184
12,July,1.410986974,2.493205453,2.778819272
16,July,1.808288771,2.028148247,2.610069793
33,July,1.526056303,2.028148247,2.493205453
50,July,1.131402111,2.151762203,2.451005098
26,July,1.131402111,2.122261539,2.429217744
29,July,1.131402111,1.887069649,2.261763098
4,July,1.326190436,1.233531606,1.960094783
25,July,1.410986974,0.09531018,1.62924054
34,July,0.741937345,0.854415328,1.470175845
36,July,1.410986974,-2.302585093,1.410986974
38,July,-0.510825624,1.131402111,1.280933845
13,July,0.470003629,0.09531018,0.955511445
27,August,2.091864062,5.635146682,5.663307642
3,August,4.478472533,4.788324729,5.338018733
30,August,5.298817242,-2.302585093,5.298817242
22,August,4.160444364,4.565389316,5.07579862
44,August,3.46885603,4.71939133,4.970507503
1,August,3.064947342,4.619401768,4.810285534
2,August,3.691376334,4.383275854,4.788324729
23,August,4.027135813,3.873282177,4.645351976
28,August,2.091864062,4.096009842,4.220977213
35,August,3.46885603,3.064947342,3.978434771
5,August,2.493205453,3.691376334,3.953164949
46,August,2.091864062,3.586292865,3.786459782
47,August,2.493205453,3.46885603,3.786459782
45,August,2.493205453,3.335769576,3.691376334
32,August,3.18221184,2.493205453,3.586292865
48,August,3.000719815,2.493205453,3.46885603
36,August,0.741937345,3.04927304,3.139832618
16,August,1.808288771,2.714694744,3.04927304
38,August,0.09531018,2.028148247,2.151762203
29,August,1.208960346,1.62924054,2.122261539
26,August,1.047318994,1.62924054,2.060513532
25,August,1.410986974,-2.302585093,1.410986974
33,August,0.470003629,0.741937345,1.280933845
44,September,3.46885603,5.90835464,5.991714516
23,September,3.691376334,5.412092381,5.576327819
1,September,3.46885603,5.108568294,5.285400974
22,September,4.160444364,4.852811209,5.25801607
3,September,4.332048265,4.278054044,4.997887721
6,September,3.873282177,4.565389316,4.970507503
32,September,2.778819272,4.278054044,4.478472533
45,September,2.493205453,4.332048265,4.478472533
27,September,3.18221184,4.027135813,4.383275854
46,September,2.778819272,3.873282177,4.160444364
35,September,3.46885603,3.287157332,4.0735748
28,September,1.410986974,3.873282177,3.953164949
48,September,3.000719815,2.493205453,3.46885603
36,September,0.741937345,2.839078464,2.949688335
47,September,2.091864062,2.091864062,2.778819272
16,September,1.808288771,2.208274414,2.714694744
12,September,1.808288771,2.208274414,2.714694744
33,September,0.741937345,2.028148247,2.261763098
4,September,1.131402111,1.692552818,2.132192106
29,September,1.280933845,1.526056303,2.091864062
34,September,0.615185639,1.348073148,1.722766598
44,January,3.46885603,6.68473672,6.723952626
23,January,2.778819272,5.768633447,5.817408735
30,January,4.606169686,4.606169686,5.298817242
28,January,2.091864062,4.788324729,4.852811209
5,January,1.410986974,4.332048265,4.383275854
18,January,0.741937345,4.249922794,4.278054044
35,January,2.376454941,3.755758983,3.978434771
12,January,1.62924054,3.222867846,3.404525172
16,January,1.131402111,2.839078464,3.000719815
48,January,2.091864062,2.091864062,2.778819272
32,January,2.493205453,-2.302585093,2.493205453
45,January,1.410986974,-2.302585093,1.410986974
