Tag,Date,Total,Other,Mac,PropMac
3,1,176,120,56,0
44,1,240,208,32,0
16,1,13.5,7.5,6,0
12,1,16,12,4,0
4,1,6.999999993,3.33333333,3.666666663,0
50,1,11.5,8.5,3,0
13,1,2.5,1,1.5,0
18,1,100,86,14,0
28,1,72,64,8,0
2,1,52,44,8,0
25,1,5,1,4,0
5,1,64,48,16,0
26,1,11.25,8.25,3,0
38,1,3.5,3,0.5,0
34,1,4.25,2.25,2,0
6,1,64,16,48,0
46,1,24,12,12,0
47,1,44,36,8,0
33,1,12,7.5,4.5,0
32,1,40,24,16,0
45,1,40,28,12,0
48,1,28,12,16,0
22,1,192,80,112,0
36,1,4,0,4,0
29,1,9.5,6.5,3,0
27,1,136,128,8,0
23,1,112,80,32,0
30,1,200,0,200,0
1,1,64,42.66666666,21.33333333,0
35,1,34.66666666,5.333333332,29.33333333,0
3,39,176,120,56,0
44,39,144,112,32,0
16,39,13.5,7.5,6,0
28,39,68,60,8,0
2,39,52,44,8,0
25,39,4,0,4,0
5,39,52,40,12,-25
26,39,7.75,5,2.75,-8.333333333
38,39,3.5,3,0.5,0
46,39,20,12,8,-33.33333333
47,39,40,32,8,0
33,39,3.5,2,1.5,-66.66666667
32,39,28,12,16,0
45,39,40,28,12,0
48,39,28,12,16,0
22,39,144,80,64,-42.85714286
36,39,2,0,2,-50
29,39,8,5,3,0
27,39,136,128,8,0
23,39,80,48,32,0
30,39,200,0,200,0
1,39,64,42.66666666,21.33333333,0
35,39,34.66666666,5.333333332,29.33333333,0
3,52,128,72,56,0
44,52,144,112,32,0
16,52,13.5,7.5,6,0
12,52,13,9,4,0
4,52,6.333333327,3.33333333,2.999999997,-18.18181818
28,52,52,48,4,-50
34,52,4,2.25,1.75,-12.5
6,52,64,16,48,0
46,52,24,12,12,50
47,52,16,8,8,0
33,52,3.5,2,1.5,0
32,52,28,12,16,0
45,52,40,28,12,0
48,52,28,12,16,0
22,52,144,80,64,0
36,52,2,0,2,0
29,52,7.5,4.5,3,0
27,52,64,56,8,0
23,52,80,48,32,0
1,52,64,42.66666666,21.33333333,0
35,52,34.66666666,5.333333332,29.33333333,0
44,189,144,112,32,0
16,189,10.5,7.5,3,-50
12,189,13,9,4,0
18,189,72,70,2,-85.71428571
28,189,52,48,4,0
5,189,44,40,4,-66.66666667
32,189,12,0,12,-25
45,189,4,0,4,-66.66666667
48,189,16,8,8,-50
23,189,64,48,16,-50
30,189,100,0,100,-50
35,189,16,5.333333332,10.66666666,-63.63636364
